;;;Gene;;;Inter-;Cumulative;;Number;Sum Intron;Protein;;Closest Organism (excl. Ophios&Sporothrix);Closest Organism (excl. O.novo-ulmi only);KEGG;;Blast2GO;;;;;MEROPS;;Alter.;;
OphioH327gp0092;I;+;415.633;417.631;1.999;1.134;415.633;417.631;2;121;625;Inner membrane protein yohK;Nectria haematococca;Ophiostoma piceae;;;predicted protein;0;-;;;;N;;;
OphioH327gp0093;I;+;418.212;418.607;396;580;418.212;418.607;0;0;131;Putative uncharacterized protein;Fusarium fujikuroi;Ophiostoma piceae;;;prolyl endopeptidase;1;F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen;EC:1.13.11.0;;;N;;;
OphioH327gp0094;I;+;421.640;422.057;418;3.032;421.640;422.057;1;52;121;Putative uncharacterized protein;Aureobasidium subglaciale;Ophiostoma piceae;;;hypothetical protein MGG_04873;3;"F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp0095;I;+;422.809;424.386;1.578;751;422.809;424.386;0;0;525;tRNA methyltransferase subunit;Grosmannia clavigera;Ophiostoma piceae;K07442;"TRM61, GCD14; tRNA (adenine57-N1/adenine58-N1)-methyltransferase [EC:2.1.1.219 2.1.1.220]";trna methyltransferase complex gcd14 subunit;1;F:transferase activity;-;;;N;;;
OphioH327gp0096;I;-;424.588;425.814;1.227;201;424.588;425.814;0;0;408;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp0097;I;-;426.634;428.009;1.376;819;426.634;428.009;2;110;421;Septum-promoting GTP-binding protein 1 (Sid3 protein);Togninia minima;Ophiostoma piceae;K07976;"RAB; Rab family, other";septum-promoting gtp-binding protein 1;2;"F:GTP binding; P:small GTPase mediated signal transduction";-;;;N;;;
OphioH327gp0098;I;+;430.839;434.480;3.642;2.829;430.839;434.480;2;129;1.170;Serine/threonine-protein kinase ppk30;Grosmannia clavigera;Ophiostoma piceae;K08853;"AAK; AP2-associated kinase [EC:2.7.11.1]";nak protein kinase;1;F:transferase activity, transferring phosphorus-containing groups;-;;;N;;;
OphioH327gp0099;I;+;440.173;444.014;3.842;5.692;440.173;444.014;5;338;1.167;H/K ATPase alpha subunit;Neosartorya fischeri;Sporothrix schenckii;K01539;"ATP1A; sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9]";h k atpase alpha;5;"F:ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism; P:ion transport; F:nucleotide binding; P:metabolic process; C:membrane";-;;;N;;;
OphioH327gp0100;I;+;444.919;445.225;307;904;444.919;445.225;1;52;84;Putative uncharacterized protein;Togninia minima;Ophiostoma piceae;;;hypothetical protein CH063_11335;3;"F:metal ion binding; P:metabolic process; F:oxidoreductase activity";-;;;N;;;
OphioH327gp0101;I;-;446.023;446.755;733;797;446.023;446.755;2;118;204;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp0102;I;-;448.479;450.184;1.706;1.723;448.479;450.184;1;71;544;Amino-acid permease;Grosmannia clavigera;Ophiostoma piceae;K16261;"YAT; yeast amino acid transporter";amino-acid permease inda1;3;"C:integral to membrane; F:amino acid transmembrane transporter activity; P:amino acid transmembrane transport";-;;;N;;;
OphioH327gp0103;I;-;455.068;458.568;3.501;4.883;455.068;458.568;1;87;1.137;Putative uncharacterized protein;Scedosporium apiospermum;Scedosporium apiospermum;;;hypothetical protein NECHADRAFT_82115;0;-;;;;N;;;
OphioH327gp0104;I;+;465.039;465.485;447;6.470;465.039;465.485;0;0;148;Hypersensitive response-inducing protein;Eutypa lata;Ophiostoma ulmi;;;22kda glycoprotein;0;-;;;;Y;;;
OphioH327gp0105;I;-;466.190;469.798;3.609;704;466.190;469.798;0;0;1.202;Heat repeat protein;Grosmannia clavigera;Ophiostoma piceae;;;heat repeat protein;0;-;;;;N;;;
OphioH327gp0106;I;+;470.145;471.158;1.014;346;470.145;471.158;1;63;316;DUF1749 domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;dolichol-phosphate mannosyltransferase;4;"F:transferase activity; P:biological_process; F:transferase activity, transferring glycosyl groups; C:cellular_component";;;;N;;;
OphioH327gp0107;I;-;471.200;472.161;962;41;471.200;472.161;3;170;263;Sterol isomerase;Grosmannia clavigera;Ophiostoma piceae;K01824;"EBP; cholestenol delta-isomerase [EC:5.3.3.5]";ebp domain containing protein;5;"C:integral to membrane; C:endoplasmic reticulum; P:sterol metabolic process; F:cholestenol delta-isomerase activity; F:isomerase activity";;;;N;;;
OphioH327gp0108;I;-;472.762;474.627;1.866;600;472.762;474.627;2;102;587;Putative C6 transcription factor;Grosmannia clavigera;Ophiostoma piceae;K09242;"LEU3; transcriptional regulatory protein LEU3";;9;"P:transcription, DNA-dependent; F:zinc ion binding; C:nucleus; F:DNA binding; P:transcription from RNA polymerase II promoter; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding";;;;N;;;
OphioH327gp0108.1;I;-;476.946;477.924;979;2.318;476.946;477.924;1;58;306;Pre-mRNA-splicing factor cwc15;Botrytis cinerea;Ophiostoma piceae;;;c6 transcription factor;4;"P:transcription, DNA-dependent; F:DNA binding; C:nucleus; F:zinc ion binding";;;;N;;;
OphioH327gp0109;I;+;478.222;479.166;945;297;478.222;479.166;0;0;314;Exosome complex component rrp45 (Ribosomal RNA-processing protein 45);Grosmannia clavigera;Ophiostoma piceae;K03678;"RRP45, EXOSC9; exosome complex component RRP45";exosome complex exonuclease rrp45;1;F:exonuclease activity;-;;;N;;;
OphioH327gp0110;I;-;479.462;480.273;812;295;479.462;480.273;1;68;247;ADP-ribosylation factor-like protein 3 (Arf-like GTPase 3);Grosmannia clavigera;Ophiostoma piceae;K07952;"ARFRP1; ADP-ribosylation factor related protein 1";adp-ribosylation factor family protein;5;"P:small GTPase mediated signal transduction; C:intracellular; P:intracellular protein transport; F:hydrolase activity; F:GTP binding";-;;;N;;;
OphioH327gp0111;I;+;482.735;483.151;417;2.461;482.735;483.151;0;0;138;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp0112;I;+;484.152;484.487;336;1.000;484.152;484.487;0;0;111;Cell wall biogenesis protein;Grosmannia clavigera;Ophiostoma piceae;;;cell wall biogenesis protein;1;P:fungal-type cell wall organization;-;;;N;;;
OphioH327gp0113;I;-;484.645;486.042;1.398;157;484.645;486.042;1;78;439;DUF1682 domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;duf1682 domain containing protein;0;-;;;;N;;;
OphioH327gp0114;I;+;487.438;488.100;663;1.395;487.438;488.100;0;0;220;Protein transport protein sec22;Gaeumannomyces graminis;Ophiostoma piceae;K08517;"SEC22; vesicle transport protein SEC22";protein transport protein sec22;2;"C:integral to membrane; P:vesicle-mediated transport";-;;;N;;;
OphioH327gp0115;I;-;488.654;490.525;1.872;553;488.654;490.525;0;0;623;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_1370;3;"F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp0116;I;+;493.147;494.244;1.098;2.621;493.147;494.244;1;63;344;Mitochondrial n-glutamine methyltransferase mtq1;Grosmannia clavigera;Ophiostoma piceae;;;mitochondrial n-glutamine methyltransferase mtq1;1;F:transferase activity;-;;;N;;;
OphioH327gp0117;I;-;494.356;497.463;3.108;111;494.356;497.463;0;0;1.035;Leucine-tRNA ligase, mitochondrial;Myceliophthora thermophila;Ophiostoma piceae;K01869;"LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]";leucyl-trna synthetase;4;"F:nucleotide binding; F:aminoacyl-tRNA ligase activity; P:tRNA aminoacylation for protein translation; C:cytoplasm";-;;;N;;;
OphioH327gp0118;I;+;497.907;498.829;923;443;497.907;498.829;1;56;288;Putative uncharacterized protein;Eutypa lata;Ophiostoma piceae;;;predicted protein;1;F:transferase activity, transferring phosphorus-containing groups;;;;N;;;
OphioH327gp0119;I;+;500.540;502.567;2.028;1.710;500.540;502.567;0;0;675;Y+L amino acid transporter 2 (Solute carrier family 7 member 6);Togninia minima;Ophiostoma piceae;K13872;"SLC7A6; solute carrier family 7 (L-type amino acid transporter), member 6";amino acid permease;1;C:membrane;-;;;N;;;
OphioH327gp0120;I;-;502.809;504.102;1.294;241;502.809;504.102;1;55;412;Altered inheritance of mitochondria protein 32;Colletotrichum graminicola;Ophiostoma piceae;;;fmi1 protein;2;"P:oxidation-reduction process; F:oxidoreductase activity";;;;N;;;
OphioH327gp0121;I;+;504.431;505.981;1.551;328;504.431;505.981;0;0;516;Cytochrome c mitochondrial import factor CYC2 ;Grosmannia clavigera;Ophiostoma piceae;;;cytochrome c mitochondrial import factor;3;"P:oxidation-reduction process; F:oxidoreductase activity; C:cellular_component";;;;N;;;
OphioH327gp0122;I;-;506.534;518.647;12.114;552;506.534;518.647;2;138;3.991;Histone acetylase complex subunit;Grosmannia clavigera;Ophiostoma piceae;K08874;"TRRAP; transformation/transcription domain-associated protein";tra1-like protein;1;F:phosphotransferase activity, alcohol group as acceptor;EC:2.7.1.0;;;N;;;
OphioH327gp0123;I;-;520.356;521.630;1.275;1.708;520.356;521.630;0;0;424;Putative uncharacterized protein;Grosmannia clavigera;Grosmannia clavigera;;;chitin- domain 3;0;-;;;;Y;;;
OphioH327gp0124;I;-;526.710;531.350;4.641;5.079;526.710;531.350;0;0;1.546;ABC transporter CDR4;Colletotrichum gloeosporioides;Ophiostoma piceae;;;abc-2 type transporter;3;"F:ATPase activity; F:nucleotide binding; C:membrane";EC:3.6.1.3;;;N;;;
OphioH327gp0125;I;-;534.896;537.810;2.915;3.545;534.896;537.810;3;164;916;Acetamidase regulatory protein;Grosmannia clavigera;Ophiostoma piceae;;;fungal specific transcription factor domain containing protein;1;P:transcription, DNA-dependent;-;;;N;;;
OphioH327gp0126;I;+;538.284;542.349;3.615;473;538.735;542.349;0;0;1.204;Uncharacterized ATP-dependent helicase;Magnaporthe oryzae;Ophiostoma piceae;;;snf2 family helicase;1;F:nucleic acid binding;-;;;N;;;
OphioH327gp0127;I;-;542.992;548.213;5.222;642;542.992;548.213;1;3.878;447;Amidohydrolase family protein;Grosmannia clavigera;Ophiostoma piceae;;;amidohydrolase family protein;1;F:catalytic activity;-;;;N;;;
OphioH327gp0128;I;-;548.862;550.262;1.401;648;548.862;550.262;0;0;466;PI-PLC X domain-containing protein;Grosmannia clavigera;Ophiostoma piceae;;;phosphoric diester hydrolase-like protein;1;F:phosphoric diester hydrolase activity;EC:3.1.4.0;;;N;;;
OphioH327gp0129;I;+;550.702;552.186;1.485;439;550.702;552.186;0;0;494;Putative uncharacterized protein;Pestalotiopsis fici;Ophiostoma piceae;;;hypothetical protein MYCTH_2089819;0;-;;;;N;;;
OphioH327gp0130;I;-;552.344;553.942;1.599;157;552.344;553.942;0;0;532;Nucleoside transporter family;Togninia minima;Ophiostoma piceae;;;nucleoside transporter;3;"P:nucleobase transport; C:membrane; F:nucleobase transmembrane transporter activity";-;;;N;;;
OphioH327gp0131;I;+;556.458;557.636;1.179;2.515;556.458;557.636;1;63;371;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;glutathione s-transferase;3;"P:biological_process; C:cellular_component; F:transferase activity";;;;N;;;
OphioH327gp0132;I;+;562.772;564.913;2.142;5.135;562.772;564.913;1;465;558;Cyclic AMP-dependent transcription factor ATF-2;Grosmannia clavigera;Ophiostoma piceae;K04450;"ATF2, CREBP1; cyclic AMP-dependent transcription factor ATF-2";bzip transcription factor;5;"P:regulation of transcription, DNA-dependent; F:sequence-specific DNA binding; F:protein dimerization activity; C:nucleus; F:sequence-specific DNA binding transcription factor activity";;;;N;;;
OphioH327gp0133;I;+;566.533;568.270;1.738;1.619;566.533;568.270;2;106;543;Kinetochore protein mis13 (NMS complex subunit mis13);Grosmannia clavigera;Ophiostoma piceae;K11560;"mis13, DSN1; kinetochore protein Mis13/DSN1";mis12-mtw1 family protein;0;-;;;;N;;;
OphioH327gp0134;I;-;568.652;569.404;753;381;568.652;569.404;0;0;250;Succinate dehydrogenase assembly factor 2, mitochondrial;Grosmannia clavigera;Ophiostoma piceae;;;tpr repeat protein;1;C:mitochondrion;;;;N;;;
OphioH327gp0135;I;-;570.317;571.080;764;912;570.317;571.080;2;122;213;Endoplasmic reticulum vesicle protein 25;Grosmannia clavigera;Ophiostoma piceae;;;endoplasmic reticulum vesicle protein 25;3;"C:integral to membrane; P:ER to Golgi vesicle-mediated transport; C:ER to Golgi transport vesicle";-;;;Y;;;
OphioH327gp0136;I;+;571.767;572.738;972;686;571.767;572.738;3;177;264;U1 small nuclear ribonucleoprotein C (U1 snRNP C);Pestalotiopsis fici;Ophiostoma piceae;K11095;"SNRPC; U1 small nuclear ribonucleoprotein C";glucose n-acetyltransferase 1;3;"F:RNA binding; F:zinc ion binding; C:U1 snRNP";-;;;N;;;
OphioH327gp0137;I;-;573.694;577.617;3.924;955;573.694;577.617;0;0;1.307;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_1114;2;"F:molecular_function; C:cellular_component";;;;N;;;
OphioH327gp0138;I;+;587.275;588.411;213;9.657;588.199;588.411;0;0;70;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;Y;;;
OphioH327gp0139;I;-;589.171;589.938;768;759;589.171;589.938;0;0;255;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;K06950;"Unclassified; Poorly Characterized";hypothetical protein CMQ_1379;4;"F:metal ion binding; P:metabolic process; F:phosphoric diester hydrolase activity; F:catalytic activity";;;;N;Y;;
OphioH327gp0140;I;+;594.212;595.126;915;4.273;594.212;595.126;0;0;304;GTP-binding protein;Grosmannia clavigera;Ophiostoma piceae;;;gtp-binding protein;0;-;;;;N;;;
OphioH327gp0141;I;-;596.098;597.219;1.122;971;596.098;597.219;0;0;373;Ras GTPase;Grosmannia clavigera;Ophiostoma piceae;;;ras gtpase;11;"F:GTP binding; P:small GTPase mediated signal transduction; C:membrane; P:GTP catabolic process; F:nucleotide binding; F:molecular_function; P:signal transduction; C:cellular_component; F:GTPase activity; P:biological_process; C:intracellular";;;;N;;;
OphioH327gp0142;I;-;598.170;599.108;939;950;598.170;599.108;0;0;312;Impact family protein;Grosmannia clavigera;Ophiostoma piceae;;;impact family protein;1;P:mycelium development;-;;;N;;;
OphioH327gp0143;I;+;599.500;600.183;684;391;599.500;600.183;3;165;172;Disease resistance protein;Grosmannia clavigera;Ophiostoma piceae;;;disease resistance protein;0;-;;;;N;;;
OphioH327gp0144;I;-;600.350;602.217;1.868;166;600.350;602.217;4;260;535;Putative uncharacterized protein;Nectria haematococca;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp0145;I;+;603.097;605.435;2.339;879;603.097;605.435;1;59;759;Eukaryotic peptide chain release factor GTP-binding subunit (ERF-3);Grosmannia clavigera;Ophiostoma piceae;K03267;"ERF3, GSPT; peptide chain release factor subunit 3";eukaryotic peptide chain release factor gtp-binding subunit;5;"F:translation release factor activity; P:GTP catabolic process; F:GTPase activity; P:translational termination; F:GTP binding";-;;;N;;;
OphioH327gp0146;I;-;605.689;606.707;1.019;253;605.689;606.707;2;107;303;Putative uncharacterized protein;Bipolaris sorokiniana;Ophiostoma piceae;;;hypothetical protein GLRG_08757;6;"P:lipid metabolic process; C:cytoplasm; C:integral to membrane; F:oxidoreductase activity, acting on the CH-CH group of donors; F:molecular_function; P:biological_process";;;;N;;;
OphioH327gp0147;I;-;607.580;616.245;8.666;872;607.580;616.245;2;1.133;2.510;Chromatin remodeling factor mit1 ;Grosmannia clavigera;Sporothrix schenckii;;;chromodomain-helicase-dna-binding protein;2;"F:metal ion binding; F:nucleic acid binding";-;;;N;Y;;
OphioH327gp0148;I;+;617.046;619.412;2.367;800;617.046;619.412;0;0;788;RNA methyltransferase;Grosmannia clavigera;Ophiostoma piceae;K15507;"MRM1, PET56; 21S rRNA (GM2251-2'-O)-methyltransferase [EC:2.1.1.-]";rna methyltransferase;3;"P:methylation; P:RNA metabolic process; F:methyltransferase activity";EC:2.1.1.0;;;N;;;
OphioH327gp0149;I;+;621.336;623.183;1.848;1.923;621.336;623.183;0;0;615;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_1512;1;C:cellular_component;;;;N;;;
OphioH327gp0150;I;-;623.888;624.352;465;704;623.888;624.352;0;0;154;Multiprotein-bridging factor 1;Grosmannia clavigera;Sporothrix schenckii;K03627;"MBF1; putative transcription factor";multiprotein-bridging factor 1;1;F:sequence-specific DNA binding;-;;;N;;;
OphioH327gp0151;I;+;625.447;627.417;1.971;1.094;625.447;627.417;0;0;656;Putative uncharacterized protein;Colletotrichum sublineola;Ophiostoma piceae;;;hypothetical protein GLRG_04317;1;F:molecular_function;;;;N;;;
OphioH327gp0152;I;+;629.730;630.266;537;2.312;629.730;630.266;2;126;136;DUF636 domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;duf636 domain protein;2;"F:carbon-sulfur lyase activity; P:metabolic process";-;;;N;;;
OphioH327gp0153;I;-;630.943;632.334;1.392;676;630.943;632.334;0;0;463;Putative uncharacterized protein;Neurospora crassa;Ophiostoma piceae;;;gpi anchored;0;-;;;;Y;;;
OphioH327gp0154;I;-;633.113;636.171;3.059;778;633.113;636.171;3;398;886;Class E vacuolar protein-sorting machinery protein hse-1;Grosmannia clavigera;Ophiostoma piceae;K04705;"STAM; signal transducing adaptor molecule";class e vacuolar protein-sorting machinery protein hse1;3;"P:protein transport; C:membrane; C:endosome";-;;;N;;;
OphioH327gp0155;I;-;637.980;641.512;3.533;1.808;637.980;641.512;1;59;1.157;Autophagy-related protein 13;Grosmannia clavigera;Ophiostoma piceae;K08331;"ATG13; autophagy-related protein 13";autophagy protein;0;-;;;;N;;;
OphioH327gp0156;I;-;645.690;650.967;5.278;4.177;645.690;650.967;2;130;1.715;BTB/POZ domain-containing protein;Verticillium dahliae;Ophiostoma piceae;;;btb poz domain-containing protein;0;-;;;;N;;;
OphioH327gp0157;I;+;657.150;658.754;1.605;6.182;657.150;658.754;8;699;301;Mitochondrial 2-oxodicarboxylate carrier 2;Magnaporthe oryzae;Sporothrix schenckii;K15110;"SLC25A21, ODC; solute carrier family 25 (mitochondrial 2-oxodicarboxylate transporter), member 21";mitochondrial 2-oxodicarboxylate transporter;4;"C:mitochondrial inner membrane; C:integral to membrane; P:transmembrane transport; F:transporter activity";-;;;N;;;
OphioH327gp0158;I;-;659.049;665.037;5.989;294;659.049;665.037;2;616;1.790;Transcription elongation factor SPT6 (Chromatin elongation factor SPT6);Grosmannia clavigera;Ophiostoma piceae;K11292;"SUPT6H, SPT6; transcription elongation factor SPT6";transcription elongation factor spt6;5;"F:translation elongation factor activity; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; P:regulation of DNA-dependent transcription, elongation; P:translational elongation";-;;;N;;;
OphioH327gp0159;I;+;666.249;667.865;1.617;1.211;666.249;667.865;0;0;538;COP9 signalosome complex subunit 12;Grosmannia clavigera;Ophiostoma piceae;;;pci domain-containing protein;0;-;;;;N;;;
OphioH327gp0160;I;-;668.870;670.642;1.773;1.004;668.870;670.642;0;0;590;Sun domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;sun family-like protein;0;-;;;;Y;;;
